
Image Name                     PID Session Name        Session#    Mem Usage
SearchHost.exe               13184 Console                    1   1,04,284 K
RuntimeBroker.exe            12404 Console                    1     42,392 K
UserOOBEBroker.exe            7236 Console                    1      5,132 K
svchost.exe                  13240 Console                    1     13,520 K
Widgets.exe                   6888 Console                    1     43,208 K
svchost.exe                  14004 Services                   0     18,196 K
backgroundTaskHost.exe       14028 Console                    1        568 K
msedgewebview2.exe           11688 Console                    1     78,896 K
msedgewebview2.exe           13024 Console                    1      2,564 K
msedgewebview2.exe           14636 Console                    1     28,804 K
msedgewebview2.exe           14688 Console                    1      8,212 K
ctfmon.exe                   14744 Console                    1     22,344 K
msedgewebview2.exe           14884 Console                    1     80,988 K
TabTip.exe                   15004 Console                    1     22,084 K
backgroundTaskHost.exe       15456 Console                    1        344 K
RuntimeBroker.exe            15780 Console                    1      4,848 K
LightStudio-background.ex    16080 Console                    1     32,816 K
TextInputHost.exe            16136 Console                    1   1,70,824 K
HP.ContextAware.exe          16864 Console                    1     27,460 K
PhoneExperienceHost.exe      17200 Console                    1     92,332 K
HP.SystemControl.Backgrou    17220 Console                    1     12,496 K
mc-neo-host.exe              18968 Services                   0     12,004 K
SecurityHealthSystray.exe    18684 Console                    1      4,316 K
SecurityHealthService.exe    18724 Services                   0     16,876 K
RtkAudUService64.exe         18760 Console                    1      8,484 K
OneDrive.exe                 19032 Console                    1     87,340 K
svchost.exe                  19188 Services                   0     17,112 K
svchost.exe                  19172 Services                   0      4,616 K
FileSyncHelper.exe            1452 Services                   0     15,060 K
svchost.exe                  20312 Services                   0     17,516 K
HPSystemEventUtilityBackg    12072 Console                    1     24,044 K
unsecapp.exe                 19820 Console                    1      8,148 K
HPMediaNetwork.exe           13344 Console                    1     18,560 K
DesktopExtension.exe         15000 Console                    1      9,804 K
HP.myHP.exe                  15664 Console                    1     15,048 K
CrossDeviceService.exe       15952 Console                    1     37,836 K
svchost.exe                  20088 Services                   0     11,920 K
RuntimeBroker.exe            17076 Console                    1      3,480 K
Copilot.exe                  20572 Console                    1   2,15,564 K
