*************************
Information of currently running processes. 
*************************
{'pid': 0, 'username': 'NT AUTHORITY\\SYSTEM', 'name': 'System Idle Process', 'vms': 0.05859375}
{'pid': 4032, 'username': None, 'name': 'TouchpointAnalyticsClientService.exe', 'vms': 61.84765625}
{'pid': 4040, 'username': None, 'name': 'SysInfoCap.exe', 'vms': 16.08203125}
{'pid': 4052, 'username': None, 'name': 'dasHost.exe', 'vms': 1.16015625}
{'pid': 4136, 'username': None, 'name': 'svchost.exe', 'vms': 5.01171875}
{'pid': 4176, 'username': None, 'name': 'svchost.exe', 'vms': 4.43359375}
{'pid': 4220, 'username': None, 'name': 'svchost.exe', 'vms': 2.52734375}
{'pid': 4268, 'username': None, 'name': 'unsecapp.exe', 'vms': 2.3515625}
{'pid': 4360, 'username': None, 'name': 'svchost.exe', 'vms': 2.99609375}
{'pid': 4428, 'username': None, 'name': 'svchost.exe', 'vms': 23.34765625}
{'pid': 4468, 'username': None, 'name': 'SearchIndexer.exe', 'vms': 30.71875}
{'pid': 4492, 'username': None, 'name': 'svchost.exe', 'vms': 1.62109375}
{'pid': 4628, 'username': None, 'name': 'svchost.exe', 'vms': 15.6640625}
{'pid': 4636, 'username': None, 'name': 'svchost.exe', 'vms': 10.05859375}
{'pid': 4684, 'username': 'DESKTOP-BU7GJUF\\SUDEEP A KULKARNI', 'name': 'msedge.exe', 'vms': 61.7421875}
{'pid': 4884, 'username': None, 'name': 'svchost.exe', 'vms': 10.953125}
{'pid': 4900, 'username': 'DESKTOP-BU7GJUF\\SUDEEP A KULKARNI', 'name': 'chrome.exe', 'vms': 19.74609375}
{'pid': 4984, 'username': 'DESKTOP-BU7GJUF\\SUDEEP A KULKARNI', 'name': 'chrome.exe', 'vms': 29.5546875}
{'pid': 5028, 'username': 'DESKTOP-BU7GJUF\\SUDEEP A KULKARNI', 'name': 'conhost.exe', 'vms': 1.69140625}
{'pid': 5168, 'username': None, 'name': 'WmiPrvSE.exe', 'vms': 45.953125}
{'pid': 5240, 'username': None, 'name': 'svchost.exe', 'vms': 8.9765625}
{'pid': 5288, 'username': None, 'name': 'svchost.exe', 'vms': 3.43359375}
{'pid': 5412, 'username': None, 'name': 'spoolsv.exe', 'vms': 9.87890625}
{'pid': 5568, 'username': None, 'name': 'wlanext.exe', 'vms': 1.64453125}
{'pid': 5616, 'username': None, 'name': 'svchost.exe', 'vms': 2.609375}
{'pid': 5624, 'username': None, 'name': 'mc-fw-host.exe', 'vms': 226.33203125}
{'pid': 5628, 'username': 'DESKTOP-BU7GJUF\\SUDEEP A KULKARNI', 'name': 'chrome.exe', 'vms': 13.046875}
{'pid': 5664, 'username': None, 'name': 'svchost.exe', 'vms': 1.75390625}
{'pid': 5692, 'username': None, 'name': 'NgcIso.exe', 'vms': 2.4609375}
{'pid': 5708, 'username': None, 'name': 'svchost.exe', 'vms': 2.15234375}
{'pid': 5760, 'username': None, 'name': 'ETDService.exe', 'vms': 1.55078125}
{'pid': 5784, 'username': None, 'name': 'svchost.exe', 'vms': 37.48046875}
{'pid': 5796, 'username': None, 'name': 'svchost.exe', 'vms': 29.90625}
{'pid': 5804, 'username': None, 'name': 'DtsApo4Service.exe', 'vms': 49.66015625}
{'pid': 5816, 'username': None, 'name': 'ipfsvc.exe', 'vms': 1.7578125}
{'pid': 5828, 'username': None, 'name': 'OfficeClickToRun.exe', 'vms': 32.25}
{'pid': 5840, 'username': None, 'name': 'GooglePlayGamesServices.exe', 'vms': 91.0}
{'pid': 5884, 'username': None, 'name': 'svchost.exe', 'vms': 3.6640625}
{'pid': 5912, 'username': None, 'name': 'HPCommRecovery.exe', 'vms': 22.9921875}
{'pid': 5928, 'username': None, 'name': 'svchost.exe', 'vms': 1.4765625}
{'pid': 5948, 'username': 'DESKTOP-BU7GJUF\\SUDEEP A KULKARNI', 'name': 'OmenCommandCenterBackground.exe', 'vms': 315.93359375}
{'pid': 5968, 'username': None, 'name': 'OneApp.IGCC.WinService.exe', 'vms': 33.84765625}
{'pid': 5976, 'username': None, 'name': 'WmiPrvSE.exe', 'vms': 7.64453125}
{'pid': 5996, 'username': 'DESKTOP-BU7GJUF\\SUDEEP A KULKARNI', 'name': 'msedge.exe', 'vms': 8.828125}
{'pid': 6012, 'username': None, 'name': 'IntelAudioService.exe', 'vms': 40.37109375}
{'pid': 6048, 'username': None, 'name': 'ipf_uf.exe', 'vms': 2.28125}
{'pid': 6056, 'username': None, 'name': 'svchost.exe', 'vms': 3.06640625}
{'pid': 6092, 'username': None, 'name': 'servicehost.exe', 'vms': 26.61328125}
{'pid': 6172, 'username': None, 'name': 'SpOrientationService.exe', 'vms': 6.09765625}
{'pid': 6196, 'username': None, 'name': 'svchost.exe', 'vms': 2.19921875}
{'pid': 6224, 'username': None, 'name': 'RtkAudUService64.exe', 'vms': 28.16796875}
{'pid': 6308, 'username': None, 'name': 'svchost.exe', 'vms': 1.44921875}
{'pid': 6336, 'username': None, 'name': 'WMIRegistrationService.exe', 'vms': 3.05078125}
{'pid': 6344, 'username': None, 'name': 'svchost.exe', 'vms': 5.25}
{'pid': 6364, 'username': None, 'name': 'svchost.exe', 'vms': 1.8515625}
{'pid': 6460, 'username': 'DESKTOP-BU7GJUF\\SUDEEP A KULKARNI', 'name': 'ETDCtrl.exe', 'vms': 7.4453125}
{'pid': 6620, 'username': None, 'name': 'svchost.exe', 'vms': 2.37890625}
{'pid': 6772, 'username': 'DESKTOP-BU7GJUF\\SUDEEP A KULKARNI', 'name': 'ipf_helper.exe', 'vms': 2.15625}
{'pid': 6888, 'username': 'DESKTOP-BU7GJUF\\SUDEEP A KULKARNI', 'name': 'Widgets.exe', 'vms': 15.5078125}
{'pid': 6952, 'username': 'DESKTOP-BU7GJUF\\SUDEEP A KULKARNI', 'name': 'powershell.exe', 'vms': 51.94140625}
{'pid': 7124, 'username': 'DESKTOP-BU7GJUF\\SUDEEP A KULKARNI', 'name': 'svchost.exe', 'vms': 3.2890625}
{'pid': 7236, 'username': 'DESKTOP-BU7GJUF\\SUDEEP A KULKARNI', 'name': 'UserOOBEBroker.exe', 'vms': 2.01953125}
{'pid': 8080, 'username': None, 'name': 'svchost.exe', 'vms': 3.8671875}
{'pid': 8276, 'username': None, 'name': 'crashpad_handler.exe', 'vms': 1.30859375}
{'pid': 8284, 'username': 'DESKTOP-BU7GJUF\\SUDEEP A KULKARNI', 'name': 'uihost.exe', 'vms': 20.76953125}
{'pid': 9348, 'username': 'DESKTOP-BU7GJUF\\SUDEEP A KULKARNI', 'name': 'taskhostw.exe', 'vms': 7.80078125}
